Nome;Link;Avaliacao;Preço Antigo;Parcelas;Preço Parcelado;Preço a Vista
Smartphone Samsung Galaxy A35 128GB Rosa;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a35-128gb-rosa-5g-6gb-ram-smartband-samsung-galaxy-fit3-rose/p/239005600/te/ga35/;5.0 (4);599,8;R$ 1.262,00 em 10x de R$ 126,20 sem juros;1262,0;1610,1
Smartphone REDMI 13C 256GB 8GB RAM 8MP Branco;https://www.magazineluiza.com.br/smartphone-redmi-13c-256gb-8gb-ram-8mp-branco-xiaomi/p/jgb0cefcjg/te/xiao/;4.5 (21);2399,0;R$ 799,99 em 6x de R$ 133,33 sem juros;799,99;1198,9
Smartphone Realme Note 50 64GB (3GB RAM) Preto - Ralme;https://www.magazineluiza.com.br/smartphone-realme-note-50-64gb-3gb-ram-preto-ralme/p/ee6f2h7k59/te/tcsp/;5.0 (2);1049,0;R$ 1.309,99 em 10x de R$ 131,00 sem juros;1309,99;719,99
Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Sky Blue) Azul;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-12-4g-256gb-8gb-ram-versao-global-sky-blue-azul/p/kjdhe14adg/te/xiao/;4.2 (6);10198,0;R$ 1.205,98 em 10x de R$ 120,60 sem juros;1205,98;1178,99
Smartphone Celular Xiaomi Redmi 13c 8gb 256gb;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-8gb-256gb/p/dkag163jfg/te/xiao/;5.0 (2);3498,0;R$ 1.050,00 em 8x de R$ 131,25 sem juros;1050,0;1205,98
Smartphone xiaomi redmi 13c tela 6,74 4gb+128gb, azul;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-13c-tela-674-4gb-128gb-azul/p/kfk8j0a50h/te/xiao/;4.0 (3);999,0;R$ 1.898,00 em 10x de R$ 189,80 sem juros;1898,0;997,5
Smartphone Samsung Galaxy A25 6,5” 256GB Azul;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a25-65-256gb-azul-5g-smartband-samsung-galaxy-fit3-grafite/p/229998400/te/ga25/;4.3 (31);249,9;R$ 1.366,17 em 10x de R$ 136,62 sem juros;1366,17;1708,2
Smartphone Xiaomi Redmi Note 13 256GB - 8GB Ram - (Mint Green) Verde;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-256gb-8gb-ram-mint-green-verde/p/kjkj04kd1a/te/xiao/;4.9 (11);177,97;R$ 1.289,00 em 10x de R$ 128,90 sem juros;1289,0;1229,55
"Smartphone Samsung Galaxy A15 6,5"" 256GB Verde Claro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-256gb-verde-claro-5g-8gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216000/te/ga15/;4.8 (3052);2699,0;R$ 1.099,00 em 10x de R$ 109,90 sem juros;1099,0;1160,1
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Escuro 4G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a15-65-256gb-azul-escuro-4g-8gb-ram-cam-tripla-50mp-selfie-13mp-5000mah-dual-chip/p/237216500/te/ga15/;4.8 (8938);4499,0;R$ 539,82 em 4x de R$ 134,96 sem juros;539,82;989,1
Smartphone Celular do Idoso 4G com letras grandes 32GB SOS;https://www.magazineluiza.com.br/smartphone-celular-do-idoso-4g-com-letras-grandes-32gb-sos-multilaser-e-pro-idoso/p/eed41k20f3/te/smul/;4.6 (10);1469,0;R$ 1.987,50 em 10x de R$ 198,75 sem juros;1987,5;485,84
Smartphone Samsung Galaxy A55 128GB 5G 8GB 6,6 Azul Escuro;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a55-128gb-5g-8gb-66-azul-escuro/p/kg827be7gj/te/ga55/;5.0 (6);219,9;R$ 875,00 em 7x de R$ 125,00 sem juros;875,0;1689,38
Smartphone Realme Note 50 4gb 128gb;https://www.magazineluiza.com.br/smartphone-realme-note-50-4gb-128gb/p/ed16d17dek/te/tcsp/;5.0 (3);499,9;R$ 5.048,00 em 10x de R$ 504,80 sem juros;5048,0;805,0
Smartphone Samsung Galaxy S23 Ultra 256GB;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s23-ultra-256gb-preto-5g-12gb-ram-galaxy-buds-fe-sem-fio-grafite/p/239001000/te/s23u/;4.8 (198);1059,0;R$ 2.189,00 em 10x de R$ 218,90 sem juros;2189,0;4543,2
Smartphone Samsung Galaxy A55 128GB Azul Escuro;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a55-128gb-azul-escuro-5g-8gb-ram-smartband-samsung-galaxy-fit3-grafite/p/239006100/te/ga55/;4.8 (27);3998,0;R$ 939,06 em 7x de R$ 134,15 sem juros;939,06;1970,1
Smartphone Xiaomi Redmi 13c 128gb 4gb Ram - Verde;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-13c-128gb-4gb-ram-verde/p/fkh8f50he2/te/xiao/;ou ;3699,9;R$ 244,90 em 8x de R$ 30,61 sem juros;244,9;892,11
