Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
Smartphone Motorola Moto g24 - 128GB 8GB Ram Boost AI Camera 50MP Night Vision;https://www.magazineluiza.com.br/smartphone-motorola-moto-g24-128gb-8gb-ram-boost-ai-camera-50mp-night-vision/p/dhjk22dg7k/te/srmt/;4.8 (123);R$ 799,00 em 6x de R$ 133,17 sem juros;799,0;719,1;Magazine Luiza;14/11/2024 20:14:36
Celular Samsung Galaxy M15 5G, 6.000mAh, Câmera Tripla até 50MP, 128GB;https://www.magazineluiza.com.br/celular-samsung-galaxy-m15-5g-6-000mah-camera-tripla-ate-50mp-128gb/p/aka2a2g1h3/te/galx/;4.8 (1218);R$ 1.079,00 em 8x de R$ 134,88 sem juros;1079,0;971,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8gb Ram 256gb Azul;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-ram-256gb-azul/p/baa99g5d31/te/xiao/;5.0 (6);R$ 1.489,90 em 10x de R$ 148,99 sem juros;1489,9;1370,71;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Samsung Galaxy A05s 6,7"" 128GB 6GB 4G Prata";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a05s-67-128gb-6gb-4g-prata/p/jfdk51dkc6/te/galx/;4.9 (19);R$ 845,88 em 7x de R$ 120,84 sem juros;845,88;845,88;Magazine Luiza;14/11/2024 20:14:36
Smartphone TCL L5 16GB Preto 4G Quad-Core;https://www.magazineluiza.com.br/smartphone-tcl-l5-16gb-preto-4g-quad-core-1gb-ram-tela-5-cam-8mp-selfie-5mp/p/155626700/te/stcl/;3.9 (179);R$ 399,99 em 3x de R$ 133,33 sem juros;399,99;359,99;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Poco X6 Pro 12gb 512gb Preto;https://www.magazineluiza.com.br/smartphone-xiaomi-poco-x6-pro-12gb-512gb-preto/p/gc9c3e59ea/te/xiao/;4.8 (13);R$ 2.999,99 em 10x de R$ 300,00 sem juros;2999,99;2759,99;Magazine Luiza;14/11/2024 20:14:36
Smartphone do idoso tecnologia avançada e facilidade de uso;https://www.magazineluiza.com.br/smartphone-do-idoso-tecnologia-avancada-e-facilidade-de-uso-positivo/p/jjk0475067/te/spst/;5.0 (2);R$ 427,00 em 12x de R$ 35,58 sem juros;427,0;427,0;Magazine Luiza;14/11/2024 20:14:36
Smartphone Celular Xiaomi Redmi 13c 8gb 256gb;https://www.magazineluiza.com.br/smartphone-celular-xiaomi-redmi-13c-8gb-256gb/p/jc1kj3611a/te/xiao/;4.8 (40);R$ 1.329,90 em 10x de R$ 132,99 sem juros;1329,9;1223,51;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 256GB - 8GB RAM (Ice Blue) Azul;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-256gb-8gb-ram-ice-blue-azul/p/df417k8a64/te/xiao/;4.8 (25);R$ 1.459,99 em 10x de R$ 146,00 sem juros;1459,99;1343,19;Magazine Luiza;14/11/2024 20:14:36
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Branco 6,7"" Câm. Dupla + Selfie 8MP";https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a06-128gb-4gb-ram-branco-67-cam-dupla-selfie-8mp/p/238657800/te/galx/;4.9 (8);R$ 849,00 em 10x de R$ 84,90 sem juros;849,0;764,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone Motorola Edge 50 Pro 5G - 256GB 24GB Ram Boost 50MP Ultra-Pixel AI Camera IP68 NFC;https://www.magazineluiza.com.br/smartphone-motorola-edge-50-pro-5g-256gb-24gb-ram-boost-50mp-ultra-pixel-ai-camera-ip68-nfc/p/dced8g3654/te/srmt/;4.7 (129);R$ 3.009,00 em 10x de R$ 300,90 sem juros;3009,0;2708,1;Magazine Luiza;14/11/2024 20:14:36
Smartphone xiaomi redmi 13c 4gb 128gb preto;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-13c-4gb-128gb-preto/p/hhbcd30jk2/te/xiao/;4.3 (4);R$ 1.039,88 em 8x de R$ 129,99 sem juros;1039,88;1039,88;Magazine Luiza;14/11/2024 20:14:36
Smartphone Xiaomi Redmi Note 13 8GB+256GB ( Preto ) 4G;https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-13-8gb-256gb-preto-4g/p/bc4bhjh8e0/te/xiao/;4.8 (32);R$ 1.459,99 em 10x de R$ 146,00 sem juros;1459,99;1343,19;Magazine Luiza;14/11/2024 20:14:36
"Celular Samsung Galaxy A05s 128GB, 6GB RAM, Tela Infinita de 6.7""";https://www.magazineluiza.com.br/celular-samsung-galaxy-a05s-128gb-6gb-ram-tela-infinita-de-6-7/p/feah46f74k/te/ga05/;4.8 (668);R$ 949,00 em 7x de R$ 135,57 sem juros;949,0;949,0;Magazine Luiza;14/11/2024 20:14:36
Smartphone Samsung Galaxy A55 128GB 5G 8GB 6,6 Azul Escuro;https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a55-128gb-5g-8gb-66-azul-escuro/p/kg827be7gj/te/ga55/;4.7 (7);R$ 1.976,35 em 10x de R$ 197,64 sem juros;1976,35;1739,19;Magazine Luiza;14/11/2024 20:14:36
